;id;Date;City;Temperature;Sales
94;32302;04.04.2012;New York City;59.8;135
95;32303;05.04.2012;New York City;50.8;127
96;32304;06.04.2012;New York City;48.3;133
97;32305;07.04.2012;New York City;50.9;134
98;32306;08.04.2012;New York City;55.2;129
99;32307;09.04.2012;New York City;58.2;127
100;32308;10.04.2012;New York City;55.8;140
101;32309;11.04.2012;New York City;48.9;144
102;32310;12.04.2012;New York City;51.2;141
103;32311;13.04.2012;New York City;54.4;138
104;32312;14.04.2012;New York City;59.9;142
105;32313;15.04.2012;New York City;68.5;136
106;32314;16.04.2012;New York City;73.1;138
107;32315;17.04.2012;New York City;72.7;149
108;32316;18.04.2012;New York City;58.8;141
109;32317;19.04.2012;New York City;52.9;148
110;32318;20.04.2012;New York City;61.1;144
111;32319;21.04.2012;New York City;62.0;147
112;32320;22.04.2012;New York City;52.6;144
113;32321;23.04.2012;New York City;51.3;160
114;32322;24.04.2012;New York City;49.7;150
115;32323;25.04.2012;New York City;54.6;152
116;32324;26.04.2012;New York City;53.7;147
117;32325;27.04.2012;New York City;51.4;150
118;32326;28.04.2012;New York City;47.9;163
119;32327;29.04.2012;New York City;54.7;161
120;32328;30.04.2012;New York City;53.0;150
121;32329;01.05.2012;New York City;57.2;159
122;32330;02.05.2012;New York City;53.6;169
123;32331;03.05.2012;New York City;54.3;151
124;32332;04.05.2012;New York City;60.0;169
125;32333;05.05.2012;New York City;57.9;157
126;32334;06.05.2012;New York City;58.5;163
127;32335;07.05.2012;New York City;57.5;168
128;32336;08.05.2012;New York City;58.9;173
129;32337;09.05.2012;New York City;62.3;163
130;32338;10.05.2012;New York City;60.7;160
131;32339;11.05.2012;New York City;59.5;170
132;32340;12.05.2012;New York City;66.8;161
133;32341;13.05.2012;New York City;72.7;169
134;32342;14.05.2012;New York City;69.5;180
135;32343;15.05.2012;New York City;63.9;181
136;32344;16.05.2012;New York City;66.1;165
137;32345;17.05.2012;New York City;65.7;182
138;32346;18.05.2012;New York City;63.1;171
139;32347;19.05.2012;New York City;65.3;174
140;32348;20.05.2012;New York City;65.9;177
141;32349;21.05.2012;New York City;60.4;171
142;32350;22.05.2012;New York City;60.0;178
143;32351;23.05.2012;New York City;68.3;182
144;32352;24.05.2012;New York City;65.2;172
145;32353;25.05.2012;New York City;63.4;175
146;32354;26.05.2012;New York City;73.3;182
147;32355;27.05.2012;New York City;74.5;189
148;32356;28.05.2012;New York City;78.1;189
149;32357;29.05.2012;New York City;82.6;189
150;32358;30.05.2012;New York City;75.0;191
151;32359;31.05.2012;New York City;73.5;191
152;32360;01.06.2012;New York City;68.2;184
153;32361;02.06.2012;New York City;69.0;186
154;32362;03.06.2012;New York City;67.8;186
155;32363;04.06.2012;New York City;62.0;190
156;32364;05.06.2012;New York City;58.3;192
157;32365;06.06.2012;New York City;63.6;185
158;32366;07.06.2012;New York City;67.5;196
159;32367;08.06.2012;New York City;67.2;205
160;32368;09.06.2012;New York City;74.4;196
161;32369;10.06.2012;New York City;74.2;197
162;32370;11.06.2012;New York City;71.6;190
163;32371;12.06.2012;New York City;68.5;202
164;32372;13.06.2012;New York City;67.2;209
165;32373;14.06.2012;New York City;69.3;207
166;32374;15.06.2012;New York City;70.3;197
167;32375;16.06.2012;New York City;70.2;214
168;32376;17.06.2012;New York City;65.3;214
169;32377;18.06.2012;New York City;63.9;207
170;32378;19.06.2012;New York City;68.3;210
171;32379;20.06.2012;New York City;81.4;214
172;32380;21.06.2012;New York City;89.2;210
173;32381;22.06.2012;New York City;85.1;209
174;32382;23.06.2012;New York City;76.4;209
175;32383;24.06.2012;New York City;74.0;214
176;32384;25.06.2012;New York City;71.8;221
177;32385;26.06.2012;New York City;66.5;213
178;32386;27.06.2012;New York City;73.5;206
179;32387;28.06.2012;New York City;79.5;224
180;32388;29.06.2012;New York City;85.7;210
181;32389;30.06.2012;New York City;88.5;220
182;32390;01.07.2012;New York City;86.7;222
183;32391;02.07.2012;New York City;81.7;222
184;32392;03.07.2012;New York City;81.4;225
185;32393;04.07.2012;New York City;83.4;226
186;32394;05.07.2012;New York City;87.8;225
187;32395;06.07.2012;New York City;82.2;210
188;32396;07.07.2012;New York City;86.2;205
189;32397;08.07.2012;New York City;82.8;220
190;32398;09.07.2012;New York City;79.7;210
191;32399;10.07.2012;New York City;77.7;210
192;32400;11.07.2012;New York City;78.1;212
193;32401;12.07.2012;New York City;78.8;209
194;32402;13.07.2012;New York City;80.9;206
195;32403;14.07.2012;New York City;80.7;214
196;32404;15.07.2012;New York City;81.4;196
197;32405;16.07.2012;New York City;81.0;201
198;32406;17.07.2012;New York City;87.2;206
199;32407;18.07.2012;New York City;89.0;205
200;32408;19.07.2012;New York City;75.3;204
201;32409;20.07.2012;New York City;69.2;197
202;32410;21.07.2012;New York City;69.3;202
203;32411;22.07.2012;New York City;74.8;192
204;32412;23.07.2012;New York City;77.4;195
205;32413;24.07.2012;New York City;83.1;206
206;32414;25.07.2012;New York City;78.2;199
207;32415;26.07.2012;New York City;81.4;188
208;32416;27.07.2012;New York City;80.3;195
209;32417;28.07.2012;New York City;76.4;189
210;32418;29.07.2012;New York City;72.7;189
211;32419;30.07.2012;New York City;74.6;185
212;32420;31.07.2012;New York City;74.0;193
213;32421;01.08.2012;New York City;75.2;196
214;32422;02.08.2012;New York City;79.1;179
215;32423;03.08.2012;New York City;83.4;177
216;32424;04.08.2012;New York City;83.4;183
217;32425;05.08.2012;New York City;83.4;192
218;32426;06.08.2012;New York City;80.2;188
219;32427;07.08.2012;New York City;77.3;190
220;32428;08.08.2012;New York City;79.8;172
221;32429;09.08.2012;New York City;81.2;190
222;32430;10.08.2012;New York City;79.2;181
223;32431;11.08.2012;New York City;80.8;185
224;32432;12.08.2012;New York City;81.0;177
225;32433;13.08.2012;New York City;79.1;174
226;32434;14.08.2012;New York City;78.9;170
227;32435;15.08.2012;New York City;76.2;182
228;32436;16.08.2012;New York City;75.6;168
229;32437;17.08.2012;New York City;81.3;180
230;32438;18.08.2012;New York City;72.7;177
231;32439;19.08.2012;New York City;72.0;169
232;32440;20.08.2012;New York City;73.6;171
233;32441;21.08.2012;New York City;74.9;169
234;32442;22.08.2012;New York City;76.6;163
235;32443;23.08.2012;New York City;77.5;160
236;32444;24.08.2012;New York City;78.7;167
237;32445;25.08.2012;New York City;77.5;159
238;32446;26.08.2012;New York City;74.5;160
239;32447;27.08.2012;New York City;75.8;167
240;32448;28.08.2012;New York City;79.9;169
241;32449;29.08.2012;New York City;75.2;160
242;32450;30.08.2012;New York City;75.2;154
243;32451;31.08.2012;New York City;81.9;156
244;32452;01.09.2012;New York City;83.4;161
245;32453;02.09.2012;New York City;76.1;159
246;32454;03.09.2012;New York City;74.7;159
247;32455;04.09.2012;New York City;74.5;160
248;32456;05.09.2012;New York City;78.6;150
249;32457;06.09.2012;New York City;75.9;158
250;32458;07.09.2012;New York City;79.0;155
251;32459;08.09.2012;New York City;78.3;149
252;32460;09.09.2012;New York City;70.9;152
253;32461;10.09.2012;New York City;67.9;151
254;32462;11.09.2012;New York City;65.1;146
255;32463;12.09.2012;New York City;70.8;149
256;32464;13.09.2012;New York City;71.9;147
257;32465;14.09.2012;New York City;72.1;135
258;32466;15.09.2012;New York City;69.3;136
259;32467;16.09.2012;New York City;67.9;137
260;32468;17.09.2012;New York City;70.0;149
261;32469;18.09.2012;New York City;72.7;135
262;32470;19.09.2012;New York City;67.5;140
263;32471;20.09.2012;New York City;63.3;131
264;32472;21.09.2012;New York City;66.1;128
265;32473;22.09.2012;New York City;67.7;127
266;32474;23.09.2012;New York City;66.0;138
267;32475;24.09.2012;New York City;62.1;143
268;32476;25.09.2012;New York City;64.1;131
269;32477;26.09.2012;New York City;69.4;139
270;32478;27.09.2012;New York City;71.4;130
271;32479;28.09.2012;New York City;67.5;140
272;32480;29.09.2012;New York City;62.1;132
273;32481;30.09.2012;New York City;62.4;123
274;32482;01.10.2012;New York City;63.0;125
275;32483;02.10.2012;New York City;66.5;122
276;32484;03.10.2012;New York City;66.3;116
277;32485;04.10.2012;New York City;70.1;128
278;32486;05.10.2012;New York City;71.4;133
279;32487;06.10.2012;New York City;70.5;116
280;32488;07.10.2012;New York City;54.8;126
281;32489;08.10.2012;New York City;51.7;124
282;32490;09.10.2012;New York City;55.4;118
283;32491;10.10.2012;New York City;59.8;114
284;32492;11.10.2012;New York City;56.0;116
285;32493;12.10.2012;New York City;53.7;115
286;32494;13.10.2012;New York City;47.3;124
287;32495;14.10.2012;New York City;59.7;122
288;32496;15.10.2012;New York City;67.0;112
289;32497;16.10.2012;New York City;58.1;113
290;32498;17.10.2012;New York City;53.9;104
291;32499;18.10.2012;New York City;58.4;102
292;32500;19.10.2012;New York City;64.9;116
293;32501;20.10.2012;New York City;64.9;111
294;32502;21.10.2012;New York City;58.9;102
295;32503;22.10.2012;New York City;60.4;105
296;32504;23.10.2012;New York City;61.9;113
297;32505;24.10.2012;New York City;58.2;103
298;32506;25.10.2012;New York City;58.9;105
299;32507;26.10.2012;New York City;62.2;99
300;32508;27.10.2012;New York City;63.2;104
301;32509;28.10.2012;New York City;59.2;103
302;32510;29.10.2012;New York City;58.4;98
303;32511;30.10.2012;New York City;57.7;103
304;32512;31.10.2012;New York City;51.4;107
305;32513;01.11.2012;New York City;47.5;99
306;32514;02.11.2012;New York City;49.2;99
307;32515;03.11.2012;New York City;46.6;103
308;32516;04.11.2012;New York City;43.2;95
309;32517;05.11.2012;New York City;43.2;90
310;32518;06.11.2012;New York City;38.4;84
311;32519;07.11.2012;New York City;38.9;94
312;32520;08.11.2012;New York City;40.1;91
313;32521;09.11.2012;New York City;44.9;83
314;32522;10.11.2012;New York City;49.6;92
315;32523;11.11.2012;New York City;54.1;96
316;32524;12.11.2012;New York City;56.0;79
317;32525;13.11.2012;New York City;53.3;85
318;32526;14.11.2012;New York City;43.3;76
319;32527;15.11.2012;New York City;41.7;80
320;32528;16.11.2012;New York City;42.6;79
321;32529;17.11.2012;New York City;44.8;73
322;32530;18.11.2012;New York City;44.7;70
323;32531;19.11.2012;New York City;43.6;88
324;32532;20.11.2012;New York City;45.3;72
325;32533;21.11.2012;New York City;47.5;81
326;32534;22.11.2012;New York City;47.6;85
327;32535;23.11.2012;New York City;48.5;74
328;32536;24.11.2012;New York City;46.0;67
329;32537;25.11.2012;New York City;38.5;80
330;32538;26.11.2012;New York City;42.3;64
331;32539;27.11.2012;New York City;40.5;78
332;32540;28.11.2012;New York City;38.5;78
333;32541;29.11.2012;New York City;39.8;68
334;32542;30.11.2012;New York City;43.0;75
335;32543;01.12.2012;New York City;39.5;76
336;32544;02.12.2012;New York City;44.3;66
337;32545;03.12.2012;New York City;53.9;59
338;32546;04.12.2012;New York City;51.4;73
339;32547;05.12.2012;New York City;53.0;67
340;32548;06.12.2012;New York City;36.7;68
341;32549;07.12.2012;New York City;40.9;64
342;32550;08.12.2012;New York City;46.9;58
343;32551;09.12.2012;New York City;47.5;68
344;32552;10.12.2012;New York City;50.6;63
345;32553;11.12.2012;New York City;49.8;64
346;32554;12.12.2012;New York City;41.7;50
347;32555;13.12.2012;New York City;41.8;59
348;32556;14.12.2012;New York City;42.9;54
349;32557;15.12.2012;New York City;44.0;49
350;32558;16.12.2012;New York City;44.2;59
351;32559;17.12.2012;New York City;42.8;46
352;32560;18.12.2012;New York City;47.3;41
353;32561;19.12.2012;New York City;45.4;44
354;32562;20.12.2012;New York City;40.7;52
355;32563;21.12.2012;New York City;48.3;56
356;32564;22.12.2012;New York City;38.4;51
357;32565;23.12.2012;New York City;39.3;48
358;32566;24.12.2012;New York City;38.8;34
359;32567;25.12.2012;New York City;37.5;43
360;32568;26.12.2012;New York City;33.2;42
361;32569;27.12.2012;New York City;39.1;48
362;32570;28.12.2012;New York City;33.8;47
363;32571;29.12.2012;New York City;33.5;33
364;32572;30.12.2012;New York City;33.5;36
365;32573;31.12.2012;New York City;33.0;39
